ID,commande_ID,numero_poste,code_produit,designation_produit,quantite_commandee,quantite_livree,prix_unitaire,unite,poids_total
dddddddd-0001-0000-0000-000000000000,cccccccc-0001-0000-0000-000000000000,1,MAT-001,Acier inoxydable 304,49.000,13.000,54.47,KG,49.000
dddddddd-0002-0000-0000-000000000000,cccccccc-0001-0000-0000-000000000000,2,PIE-003,Vis M8x40 inox,70.000,27.000,0.73,PC,35.000
dddddddd-0003-0000-0000-000000000000,cccccccc-0001-0000-0000-000000000000,3,PIE-001,Roulement a billes 6204,51.000,20.000,12.00,PC,25.500
dddddddd-0004-0000-0000-000000000000,cccccccc-0002-0000-0000-000000000000,1,MAT-002,Aluminium T6061,119.000,58.000,38.72,KG,119.000
dddddddd-0005-0000-0000-000000000000,cccccccc-0002-0000-0000-000000000000,2,CHI-002,Huile hydraulique ISO 46,161.000,2.000,6.14,L,80.500
dddddddd-0006-0000-0000-000000000000,cccccccc-0002-0000-0000-000000000000,3,TEX-001,Tissu polyester 150cm,154.000,5.000,7.75,M,15.400
dddddddd-0007-0000-0000-000000000000,cccccccc-0003-0000-0000-000000000000,1,PIE-003,Vis M8x40 inox,106.000,0.000,0.75,PC,53.000
dddddddd-0008-0000-0000-000000000000,cccccccc-0003-0000-0000-000000000000,2,CHI-001,Solvant nettoyant industriel,134.000,0.000,30.96,L,67.000
dddddddd-0009-0000-0000-000000000000,cccccccc-0003-0000-0000-000000000000,3,LOG-001,Transport national standard,103.000,0.000,249.98,SRV,51.500
dddddddd-0010-0000-0000-000000000000,cccccccc-0004-0000-0000-000000000000,1,CHI-002,Huile hydraulique ISO 46,81.000,0.000,6.09,L,40.500
dddddddd-0011-0000-0000-000000000000,cccccccc-0004-0000-0000-000000000000,2,PIE-002,Joint torique NBR 50mm,93.000,0.000,3.05,PC,46.500
dddddddd-0012-0000-0000-000000000000,cccccccc-0004-0000-0000-000000000000,3,EMB-002,Film etirable 500mm,85.000,0.000,21.91,RL,42.500
dddddddd-0013-0000-0000-000000000000,cccccccc-0005-0000-0000-000000000000,1,MAT-002,Aluminium T6061,34.000,34.000,34.15,KG,34.000
dddddddd-0014-0000-0000-000000000000,cccccccc-0005-0000-0000-000000000000,2,PIE-003,Vis M8x40 inox,171.000,171.000,0.97,PC,85.500
dddddddd-0015-0000-0000-000000000000,cccccccc-0006-0000-0000-000000000000,1,MAT-003,Cuivre electrolytique,23.000,23.000,64.71,KG,23.000
dddddddd-0016-0000-0000-000000000000,cccccccc-0007-0000-0000-000000000000,1,TEX-001,Tissu polyester 150cm,21.000,3.000,8.59,M,2.100
dddddddd-0017-0000-0000-000000000000,cccccccc-0007-0000-0000-000000000000,2,MAT-002,Aluminium T6061,153.000,60.000,34.48,KG,153.000
dddddddd-0018-0000-0000-000000000000,cccccccc-0007-0000-0000-000000000000,3,EMB-002,Film etirable 500mm,114.000,28.000,21.66,RL,57.000
dddddddd-0019-0000-0000-000000000000,cccccccc-0008-0000-0000-000000000000,1,PIE-001,Roulement a billes 6204,6.000,1.000,12.75,PC,3.000
dddddddd-0020-0000-0000-000000000000,cccccccc-0009-0000-0000-000000000000,1,EMB-001,Carton triple cannelure 60x40,147.000,147.000,4.42,PC,73.500
dddddddd-0021-0000-0000-000000000000,cccccccc-0009-0000-0000-000000000000,2,MAT-002,Aluminium T6061,18.000,18.000,29.01,KG,18.000
